Internet users (per 100 people),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
France,0.0513583964,0.1362929817,0.271338368,0.5740868859,0.8743518422,1.5908914889,2.5087997218,4.1294412025,6.1308104757,8.862278766,13.8702769902,25.4828460561,29.1894249803,34.944832628,37.8355608025,41.3910811706,45.2200554377,63.7489392371,68.1851905463,69.0633593001,77.2835793829,76.7699166747
French Guiana,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,0,,,,,,0.0909719443,0.2143852503,1.3161646961,3.4489002319,6.3570635452,6.2515889455,8.2002164857,14.1242937853,17.8845374264,21.5421854743,25.1079642463,28.59,33.87,44.6,49,49
Gabon,0,,,,,,0,0.0479990086,0.1701248802,0.2490095645,1.2161406183,1.3476202216,1.9395301062,2.6595865939,2.9790698004,4.8932647497,5.4892008028,5.7670045756,6.21,6.7,7.23,8
Gambia,0,,,,,0.0092175413,0.0355073602,0.051311347,0.2060944605,0.7158270148,0.9217949191,1.3367911665,1.796779883,2.4367811931,3.3080034781,3.7990011388,5.2376911584,6.2050374185,6.88,7.63,9.2,10.8703
Georgia,0,,,,,0.0126751914,0.0433309575,0.0662140589,0.1114564009,0.4493181642,0.5206735662,1.0599722208,1.6859230322,2.7012599641,4.0673860623,6.2408897277,7.6035917732,8.3118668672,10.0335607318,19.9008692527,26.2925268595,35.2806933928
Germany,0.1253613899,0.2491418815,0.4334409509,0.4623197386,0.9231849998,1.843393972,3.0654523051,6.7349138467,9.9143640487,20.9072513651,30.2668908884,31.6641344302,48.7865793808,55.8660912166,64.7363407211,68.7694182783,72.2998823788,75.3883358624,78.346894877,79.4852315332,82.5269685472,83.4433166434
Ghana,0,,,,,0.0003479176,0.005648763,0.0275375418,0.0322404432,0.1048954662,0.1536152976,0.2000080603,0.8302840338,1.193057911,1.7167977039,1.831197461,2.7231759731,3.85,4.27,5.44,9.55,14.11
Gibraltar,,,,,,,,,,,,,,,,,,,,,,
Greece,0,0.0487452295,0.0482048115,0.191039732,0.3789304077,0.7522544906,1.4012850705,1.8579401479,3.2366075392,6.9120698477,9.1969316969,11.0173513968,14.7845437128,17.9413825392,21.5856793291,24.1710718649,32.4549242676,36.0818080361,38.3859944039,42.5647333099,44.5720123568,53.4033654459
Greenland,0,,,,0.0648648649,0.0537634409,1.7889087657,7.9178571429,14.5935828877,21.5725775867,31.7455516014,35.4924578527,44.1618089917,54.6101553024,56.2271599688,57.9618460245,59.8907501101,61.8917535143,63.9229857265,63.9243349964,63.8502821361,64.6225856478
Grenada,0,0,0,0,0,0,0.2980329823,0.9908838684,1.4848544843,2.4731661473,4.0639079915,5.1281039822,14.7588405455,18.6451821831,19.5706205844,20.487804878,21.3959911693,22.29,23.18,24.05,33.46,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,
Guam,0,,,,0.34845391,0.6595309086,1.3561068883,2.3445716468,4.5012841899,8.4971763229,16.1131270423,25.3802275337,31.1922942556,33.7166817881,36.1617878388,38.5598775576,43.8514430048,46.1504736192,48.4187021509,50.642028382,,
Guatemala,0,,,,,0.0029980054,0.0195348708,0.0954760215,0.4665904445,0.5926529453,0.7123329045,1.7382017816,3.3917462702,4.5488549085,5.1,5.7,6.5,7.3,8.3,9.3,10.5,11.7274
Guernsey,,,,,,,,,,,,,,,,,,,,,,
Guinea,0,,,,0.0001383185,0.0006685894,0.0019489419,0.0038031085,0.0062033685,0.0608089192,0.0954249236,0.1755418685,0.4020227487,0.4509603708,0.5088193323,0.542254181,0.637492123,0.7800252791,0.92,0.94,1,1.3
Guinea-Bissau,0,,,,,,,0.0163890633,0.0240604205,0.1177024482,0.2301031706,0.2995691447,1.0229932344,1.3541974776,1.8081422034,1.9013653161,2.0571967045,2.2063022375,2.3548887109,2.3032805917,2.45,2.672
